AOP_ID	AOP_TITLE	KE_ID	KE_TITLE	MESH_ID	MESH_TITLE	MESH_BRANCH
https://identifiers.org/aop/545	Activation, Pregnane-X receptor, NR1l2 leads to increased plasma low-density lipoprotein (LDL) cholesterol via increased cholesterol synthesis	https://identifiers.org/aop.events/2268	Decreased, insulin-induced gene 1 (INSIG1) protein activity	http://id.nlm.nih.gov/mesh/D000818	Animals	B
https://identifiers.org/aop/545	Activation, Pregnane-X receptor, NR1l2 leads to increased plasma low-density lipoprotein (LDL) cholesterol via increased cholesterol synthesis	https://identifiers.org/aop.events/2268	Decreased, insulin-induced gene 1 (INSIG1) protein activity	http://id.nlm.nih.gov/mesh/D002462	Cell Membrane	A
https://identifiers.org/aop/545	Activation, Pregnane-X receptor, NR1l2 leads to increased plasma low-density lipoprotein (LDL) cholesterol via increased cholesterol synthesis	https://identifiers.org/aop.events/2268	Decreased, insulin-induced gene 1 (INSIG1) protein activity	http://id.nlm.nih.gov/mesh/D002784	Cholesterol	D
https://identifiers.org/aop/545	Activation, Pregnane-X receptor, NR1l2 leads to increased plasma low-density lipoprotein (LDL) cholesterol via increased cholesterol synthesis	https://identifiers.org/aop.events/2268	Decreased, insulin-induced gene 1 (INSIG1) protein activity	http://id.nlm.nih.gov/mesh/D004721	Endoplasmic Reticulum	A
https://identifiers.org/aop/545	Activation, Pregnane-X receptor, NR1l2 leads to increased plasma low-density lipoprotein (LDL) cholesterol via increased cholesterol synthesis	https://identifiers.org/aop.events/2268	Decreased, insulin-induced gene 1 (INSIG1) protein activity	http://id.nlm.nih.gov/mesh/D006056	Golgi Apparatus	A
https://identifiers.org/aop/545	Activation, Pregnane-X receptor, NR1l2 leads to increased plasma low-density lipoprotein (LDL) cholesterol via increased cholesterol synthesis	https://identifiers.org/aop.events/2268	Decreased, insulin-induced gene 1 (INSIG1) protein activity	http://id.nlm.nih.gov/mesh/D006801	Humans	B
https://identifiers.org/aop/545	Activation, Pregnane-X receptor, NR1l2 leads to increased plasma low-density lipoprotein (LDL) cholesterol via increased cholesterol synthesis	https://identifiers.org/aop.events/2268	Decreased, insulin-induced gene 1 (INSIG1) protein activity	http://id.nlm.nih.gov/mesh/D008565	Membrane Proteins	D
https://identifiers.org/aop/545	Activation, Pregnane-X receptor, NR1l2 leads to increased plasma low-density lipoprotein (LDL) cholesterol via increased cholesterol synthesis	https://identifiers.org/aop.events/2268	Decreased, insulin-induced gene 1 (INSIG1) protein activity	http://id.nlm.nih.gov/mesh/D051779	Sterol Regulatory Element Binding Proteins	D
https://identifiers.org/aop/545	Activation, Pregnane-X receptor, NR1l2 leads to increased plasma low-density lipoprotein (LDL) cholesterol via increased cholesterol synthesis	https://identifiers.org/aop.events/2268	Decreased, insulin-induced gene 1 (INSIG1) protein activity	http://id.nlm.nih.gov/mesh/D051780	Sterol Regulatory Element Binding Protein 1	D
https://identifiers.org/aop/545	Activation, Pregnane-X receptor, NR1l2 leads to increased plasma low-density lipoprotein (LDL) cholesterol via increased cholesterol synthesis	https://identifiers.org/aop.events/2268	Decreased, insulin-induced gene 1 (INSIG1) protein activity	http://id.nlm.nih.gov/mesh/D051782	Sterol Regulatory Element Binding Protein 2	D
https://identifiers.org/aop/545	Activation, Pregnane-X receptor, NR1l2 leads to increased plasma low-density lipoprotein (LDL) cholesterol via increased cholesterol synthesis	https://identifiers.org/aop.events/2268	Decreased, insulin-induced gene 1 (INSIG1) protein activity	http://id.nlm.nih.gov/mesh/D059748	Proteolysis	G
https://identifiers.org/aop/545	Activation, Pregnane-X receptor, NR1l2 leads to increased plasma low-density lipoprotein (LDL) cholesterol via increased cholesterol synthesis	https://identifiers.org/aop.events/2269	Increased, Sterol Regulatory Element Binding Protein 2 (SREBP2) protein expression 	http://id.nlm.nih.gov/mesh/D000818	Animals	B
https://identifiers.org/aop/545	Activation, Pregnane-X receptor, NR1l2 leads to increased plasma low-density lipoprotein (LDL) cholesterol via increased cholesterol synthesis	https://identifiers.org/aop.events/2269	Increased, Sterol Regulatory Element Binding Protein 2 (SREBP2) protein expression 	http://id.nlm.nih.gov/mesh/D002784	Cholesterol	D
https://identifiers.org/aop/545	Activation, Pregnane-X receptor, NR1l2 leads to increased plasma low-density lipoprotein (LDL) cholesterol via increased cholesterol synthesis	https://identifiers.org/aop.events/2269	Increased, Sterol Regulatory Element Binding Protein 2 (SREBP2) protein expression 	http://id.nlm.nih.gov/mesh/D004721	Endoplasmic Reticulum	A
https://identifiers.org/aop/545	Activation, Pregnane-X receptor, NR1l2 leads to increased plasma low-density lipoprotein (LDL) cholesterol via increased cholesterol synthesis	https://identifiers.org/aop.events/2269	Increased, Sterol Regulatory Element Binding Protein 2 (SREBP2) protein expression 	http://id.nlm.nih.gov/mesh/D006056	Golgi Apparatus	A
https://identifiers.org/aop/545	Activation, Pregnane-X receptor, NR1l2 leads to increased plasma low-density lipoprotein (LDL) cholesterol via increased cholesterol synthesis	https://identifiers.org/aop.events/2269	Increased, Sterol Regulatory Element Binding Protein 2 (SREBP2) protein expression 	http://id.nlm.nih.gov/mesh/D006801	Humans	B
https://identifiers.org/aop/545	Activation, Pregnane-X receptor, NR1l2 leads to increased plasma low-density lipoprotein (LDL) cholesterol via increased cholesterol synthesis	https://identifiers.org/aop.events/2269	Increased, Sterol Regulatory Element Binding Protein 2 (SREBP2) protein expression 	http://id.nlm.nih.gov/mesh/D008565	Membrane Proteins	D
