KE_ID	KE_TITLE	MESH_ID	MESH_BRANCH	MESH_TITLE	SCORE
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D000109	D	Acetylcholine	0.9572
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D013569	A	Synapses	0.8469
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D006801	B	Humans	0.7345
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D000818	B	Animals	0.7197
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D011950	D	Receptors, Cholinergic	0.3911
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D009435	G	Synaptic Transmission	0.2352
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D000110	D	Acetylcholinesterase	0.2072
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D001921	A	Brain	0.2013
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D009474	A	Neurons	0.1437
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D015398	G	Signal Transduction	0.1247
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D051379	B	Mice	0.1224
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D018678	D	Cholinergic Agents	0.1183
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D013572	A	Synaptic Vesicles	0.103
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D015220	D	Calcium Channels	0.0639
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D018408	E	Patch-Clamp Techniques	0.0606
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D006624	A	Hippocampus	0.0541
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D013570	A	Synaptic Membranes	0.0516
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D016708	D	Synaptophysin	0.0471
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D000544	F	Alzheimer Disease	0.0413
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D018377	D	Neurotransmitter Agents	0.0411
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D011978	D	Receptors, Nicotinic	0.0386
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D017774	G	Long-Term Potentiation	0.0381
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D002490	A	Central Nervous System	0.036
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D015394	G	Molecular Structure	0.0358
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D009424	G	Nervous System Physiological Phenomena	0.0337
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D007448	B	Invertebrates	0.0307
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D008959	E	Models, Neurological	0.029
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D008954	E	Models, Biological	0.0284
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D009473	G	Neuronal Plasticity	0.0267
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D000107	G	Acetylation	0.0265
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D017729	A	Presynaptic Terminals	0.0254
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D016229	D	Amyloid beta-Peptides	0.0251
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D002799	A	Cholinergic Fibers	0.0238
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D019636	C	Neurodegenerative Diseases	0.0238
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D055495	G	Neurogenesis	0.0224
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D009434	A	Neural Pathways	0.0223
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D000200	G	Action Potentials	0.0195
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D059329	A	Cholinergic Neurons	0.0187
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D002118	D	Calcium	0.0174
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses	http://id.nlm.nih.gov/mesh/D013574	A	Synaptosomes	0.0172
https://identifiers.org/aop.events/1000	stabilization, PPAR alpha co-repressor	http://id.nlm.nih.gov/mesh/D006801	B	Humans	0.9644
https://identifiers.org/aop.events/1000	stabilization, PPAR alpha co-repressor	http://id.nlm.nih.gov/mesh/D047495	D	PPAR gamma	0.3049
https://identifiers.org/aop.events/1000	stabilization, PPAR alpha co-repressor	http://id.nlm.nih.gov/mesh/D000328	M	Adult	0.2505
https://identifiers.org/aop.events/1000	stabilization, PPAR alpha co-repressor	http://id.nlm.nih.gov/mesh/D047493	D	PPAR alpha	0.1503
https://identifiers.org/aop.events/1000	stabilization, PPAR alpha co-repressor	http://id.nlm.nih.gov/mesh/D000368	M	Aged	0.1085
https://identifiers.org/aop.events/1000	stabilization, PPAR alpha co-repressor	http://id.nlm.nih.gov/mesh/D013526	E	Surgical Mesh	0.1017
https://identifiers.org/aop.events/1000	stabilization, PPAR alpha co-repressor	http://id.nlm.nih.gov/mesh/D016896	E	Treatment Outcome	0.0965
https://identifiers.org/aop.events/1000	stabilization, PPAR alpha co-repressor	http://id.nlm.nih.gov/mesh/D047494	D	PPAR delta	0.0924
https://identifiers.org/aop.events/1000	stabilization, PPAR alpha co-repressor	http://id.nlm.nih.gov/mesh/D019161	D	Hydroxymethylglutaryl-CoA Reductase Inhibitors	0.0758
https://identifiers.org/aop.events/1000	stabilization, PPAR alpha co-repressor	http://id.nlm.nih.gov/mesh/D000818	B	Animals	0.0638
https://identifiers.org/aop.events/1000	stabilization, PPAR alpha co-repressor	http://id.nlm.nih.gov/mesh/D008875	M	Middle Aged	0.0633
https://identifiers.org/aop.events/1000	stabilization, PPAR alpha co-repressor	http://id.nlm.nih.gov/mesh/D004452	E	Echocardiography	0.0565
https://identifiers.org/aop.events/1000	stabilization, PPAR alpha co-repressor	http://id.nlm.nih.gov/mesh/D015398	G	Signal Transduction	0.0558
https://identifiers.org/aop.events/1000	stabilization, PPAR alpha co-repressor	http://id.nlm.nih.gov/mesh/D016032	E	Randomized Controlled Trials as Topic	0.0526
https://identifiers.org/aop.events/1000	stabilization, PPAR alpha co-repressor	http://id.nlm.nih.gov/mesh/D019918	E	Heart Valve Prosthesis Implantation	0.046
https://identifiers.org/aop.events/1000	stabilization, PPAR alpha co-repressor	http://id.nlm.nih.gov/mesh/D012086	E	Reoperation	0.0446
