KE_TITLE,KE_CHUNK,MESH_TITLE,SCORE
"Increased, Inhibitory postsynaptic potential",Increased,Up-Regulation,0.604455292224884
"Increased, Inhibitory postsynaptic potential",Increased,Cell Enlargement,0.5663295984268188
"Increased, Inhibitory postsynaptic potential",Increased,Acceleration,0.5250890851020813
"Increased, Inhibitory postsynaptic potential",Inhibitory postsynaptic potential,Inhibitory Postsynaptic Potentials,0.965998649597168
"Increased, Inhibitory postsynaptic potential",Inhibitory postsynaptic potential,Synaptic Potentials,0.7778031229972839
"Increased, Inhibitory postsynaptic potential",Inhibitory postsynaptic potential,Excitatory Postsynaptic Potentials,0.7601475715637207
"Induction, Somatic muscle paralysis",Induction,Enzyme Induction,0.719211220741272
"Induction, Somatic muscle paralysis",Induction,Up-Regulation,0.6578550338745117
"Induction, Somatic muscle paralysis",Induction,Interferon Inducers,0.5650391578674316
"Induction, Somatic muscle paralysis",Somatic muscle paralysis,Muscle Weakness,0.6935926675796509
"Induction, Somatic muscle paralysis",Somatic muscle paralysis,Paralysis,0.6808648705482483
"Induction, Somatic muscle paralysis",Somatic muscle paralysis,Muscle Spasticity,0.6786847114562988
"Increased, Inhibitory postsynaptic potential",Increased,Up-Regulation,0.6044554114341736
"Increased, Inhibitory postsynaptic potential",Increased,Cell Enlargement,0.5663297176361084
"Increased, Inhibitory postsynaptic potential",Increased,Acceleration,0.5250891447067261
"Increased, Neuronal synaptic inhibition",Neuronal synaptic inhibition,Inhibitory Postsynaptic Potentials,0.8018976449966431
"Increased, Neuronal synaptic inhibition",Neuronal synaptic inhibition,Neural Inhibition,0.7787923216819763
"Increased, Neuronal synaptic inhibition",Neuronal synaptic inhibition,Synaptic Transmission,0.681454598903656
"Activation, Glutamate-gated chloride channels",Activation,Activation Analysis,0.7367744445800781
"Activation, Glutamate-gated chloride channels",Activation,"Activation, Metabolic",0.7045129537582397
"Activation, Glutamate-gated chloride channels",Activation,Enzyme Activation,0.6919927597045898
"Activation, Glutamate-gated chloride channels",Glutamate-gated chloride,Chloride Channels,0.7800102233886719
"Activation, Glutamate-gated chloride channels",Glutamate-gated chloride,"Receptors, Ionotropic Glutamate",0.7099541425704956
"Activation, Glutamate-gated chloride channels",Glutamate-gated chloride,CLC-2 Chloride Channels,0.6954218149185181
"Induction, Somatic muscle paralysis",Induction,Enzyme Induction,0.719211220741272
"Induction, Somatic muscle paralysis",Induction,Up-Regulation,0.6578550338745117
"Induction, Somatic muscle paralysis",Induction,Interferon Inducers,0.5650391578674316
"Induction, pharyngeal muscle paralysis",pharyngeal muscle paralysis,Pharyngeal Muscles,0.8674392700195312
"Induction, pharyngeal muscle paralysis",pharyngeal muscle paralysis,Pharyngectomy,0.8298923969268799
"Induction, pharyngeal muscle paralysis",pharyngeal muscle paralysis,Pharyngitis,0.8285017013549805
"Increased, Inhibitory postsynaptic potential",Increased,Up-Regulation,0.6044554114341736
"Increased, Inhibitory postsynaptic potential",Increased,Cell Enlargement,0.5663297176361084
"Increased, Inhibitory postsynaptic potential",Increased,Acceleration,0.5250891447067261
"Increased, Thyroid-stimulating hormone (TSH)",Thyroid-stimulating hormone,Thyrotropin-Releasing Hormone,0.8667156100273132
"Increased, Thyroid-stimulating hormone (TSH)",Thyroid-stimulating hormone,Thyroid Hormones,0.8145584464073181
"Increased, Thyroid-stimulating hormone (TSH)",Thyroid-stimulating hormone,Thyrotropin,0.7867022752761841
"Increased, Thyroid-stimulating hormone (TSH)",TSH,"RNA, Transfer, Thr",0.6144193410873413
"Increased, Thyroid-stimulating hormone (TSH)",TSH,"Receptor, trkA",0.6077395081520081
